file,category,domain,bytes,kb,lines,selectors,important_count,css_import_count,import_order,risk_score,risk_level,risk_reasons
index.css,entry-orchestrator,General/System,5956,5.82,133,3,2,92,3,1,low,active imported CSS
styles/themes.css,other,General/System,2383,2.33,75,6,0,0,4,1,low,active imported CSS
styles/core/tokens.css,core-foundation,General/System,92,0.09,1,0,0,0,6,1,low,active imported CSS
styles/core/base.css,core-foundation,General/System,86,0.08,1,0,0,0,7,1,low,active imported CSS
styles/core/typography.css,core-foundation,General/System,98,0.1,1,0,0,0,8,1,low,active imported CSS
styles/core/animations.css,core-foundation,General/System,4717,4.61,177,45,1,0,9,1,low,active imported CSS
styles/core/utilities.css,core-foundation,General/System,1735,1.69,70,11,0,0,10,1,low,active imported CSS
styles/layout/app-shell.css,layout-system,General/System,84,0.08,1,0,0,0,11,1,low,active imported CSS
styles/layout/sidebar.css,layout-system,Sidebar,555,0.54,28,4,0,0,12,3,low,sensitive UI/business domain; active imported CSS
styles/layout/page-shell.css,layout-system,General/System,84,0.08,1,0,0,0,13,1,low,active imported CSS
styles/layout/responsive.css,layout-system,General/System,304,0.3,17,2,1,0,14,1,low,active imported CSS
styles/layout/print.css,layout-system,General/System,3023,2.95,144,21,3,0,15,1,low,active imported CSS
styles/components/buttons.css,component-shared,Buttons,84,0.08,1,0,0,0,16,1,low,active imported CSS
styles/components/tables.css,component-shared,Tables,7916,7.73,190,28,0,0,17,1,low,active imported CSS
styles/components/cards.css,component-shared,General/System,13892,13.57,402,84,2,0,18,3,low,medium selector surface; active imported CSS
styles/components/toolbars.css,component-shared,General/System,6608,6.45,233,39,0,0,19,1,low,active imported CSS
styles/components/filters.css,component-shared,Filters,7420,7.25,366,62,1,0,20,3,low,medium selector surface; active imported CSS
styles/pages/reports.css,page-domain,Reports,60394,58.98,2376,366,355,0,21,11,critical,very high !important count; large selector surface; sensitive UI/business domain; large file >50KB; active imported CSS
styles/pages/dashboard.css,page-domain,Dashboard,1793,1.75,83,17,0,0,22,1,low,active imported CSS
styles/pages/telegram.css,page-domain,Telegram,62348,60.89,1628,320,263,0,23,11,critical,very high !important count; large selector surface; sensitive UI/business domain; large file >50KB; active imported CSS
styles/pages/settings.css,page-domain,Settings,6335,6.19,189,33,0,0,24,1,low,active imported CSS
styles/pages/inventory.css,page-domain,Inventory,410,0.4,9,2,0,0,25,1,low,active imported CSS
styles/pages/customers.css,page-domain,Customers,796,0.78,42,7,0,0,26,1,low,active imported CSS
styles/pages/partners.css,page-domain,Partners,12754,12.46,556,107,32,0,27,5,medium,high !important count; medium selector surface; active imported CSS
styles/pages/mobile-phones.css,page-domain,Mobile Phones,208,0.2,2,0,0,0,28,3,low,sensitive UI/business domain; active imported CSS
styles/pages/repairs.css,page-domain,Repairs,1867,1.82,37,9,0,0,29,1,low,active imported CSS
styles/pages/purchases.css,page-domain,General/System,207,0.2,2,0,0,0,30,1,low,active imported CSS
styles/vendors/overrides.css,vendor-override,General/System,84,0.08,1,0,0,0,31,1,low,active imported CSS
styles/legacy/01-legacy-app-base-and-loaders.css,legacy-split,General/System,10564,10.32,446,75,1,0,32,6,medium,legacy CSS split from historical monolith; medium selector surface; active imported CSS
styles/legacy/02a-legacy-reports-kpi-table-foundation.css,legacy-split,"Reports, Tables",962,0.94,61,22,0,0,33,6,medium,legacy CSS split from historical monolith; sensitive UI/business domain; active imported CSS
styles/legacy/02b-legacy-premium-modal-base.css,legacy-split,Modals,2231,2.18,85,24,2,0,34,6,medium,legacy CSS split from historical monolith; sensitive UI/business domain; active imported CSS
styles/legacy/02c-legacy-detail-drawer-primitives.css,legacy-split,General/System,2122,2.07,120,32,0,0,35,4,low,legacy CSS split from historical monolith; active imported CSS
styles/legacy/02d-legacy-detail-compact-density.css,legacy-split,General/System,935,0.91,40,7,0,0,36,4,low,legacy CSS split from historical monolith; active imported CSS
styles/legacy/02e-legacy-smart-tooltip-transitions.css,legacy-split,General/System,1098,1.07,42,4,0,0,37,4,low,legacy CSS split from historical monolith; active imported CSS
styles/legacy/02f-legacy-page-shell-modern.css,legacy-split,General/System,1389,1.36,63,12,0,0,38,4,low,legacy CSS split from historical monolith; active imported CSS
styles/legacy/02g-legacy-ux-button-core-loading.css,legacy-split,Buttons,3886,3.79,161,32,1,0,39,4,low,legacy CSS split from historical monolith; active imported CSS
styles/legacy/02h-legacy-ux-button-motion-presets.css,legacy-split,Buttons,7406,7.23,200,28,0,0,40,4,low,legacy CSS split from historical monolith; active imported CSS
styles/legacy/02i-legacy-people-list-controls-fields.css,legacy-split,"People, Forms/Inputs",4173,4.08,173,38,0,0,41,4,low,legacy CSS split from historical monolith; active imported CSS
styles/legacy/02j-legacy-report-toolbar-filters.css,legacy-split,"Reports, Filters",3854,3.76,176,38,0,0,42,6,medium,legacy CSS split from historical monolith; sensitive UI/business domain; active imported CSS
styles/legacy/02k-legacy-cards-toasts-feedback-loading.css,legacy-split,Toasts,7713,7.53,222,58,2,0,43,4,low,legacy CSS split from historical monolith; active imported CSS
