selector,body_variants,definitions,files
".phone-inventory-table-v2 th:nth-child(4), .phone-inventory-table-v2 td:nth-child(4)",10,12,05-mobile-phones.css | 06a-enterprise-actions-fields-validation.css | 06e-accessibility-rtl-targeted-fixes.css | 07a-products-modal-precision-cleanup.css | 07b-products-modal-responsive-polish.css
.phone-inventory-table-v2 col:nth-child(4),9,11,05-mobile-phones.css | 06e-accessibility-rtl-targeted-fixes.css | 07a-products-modal-precision-cleanup.css | 07b-products-modal-responsive-polish.css
.phone-inventory-table-v2 col:nth-child(3),8,11,05-mobile-phones.css | 06e-accessibility-rtl-targeted-fixes.css | 07a-products-modal-precision-cleanup.css | 07b-products-modal-responsive-polish.css
.phone-inventory-table-v2 col:nth-child(2),8,10,06e-accessibility-rtl-targeted-fixes.css | 07a-products-modal-precision-cleanup.css | 07b-products-modal-responsive-polish.css
#telegram-settings-form .telegram-monitor-v2-action,8,8,09b-telegram-control-center-monitoring.css | 09d1-telegram-studio-filter-controls.css | 09d7-telegram-monitor-card-standard.css | 09d8-telegram-monitor-size-placement-contract.css
#telegram-settings-form .telegram-monitor-v2-action__value,8,8,09b-telegram-control-center-monitoring.css | 09c-telegram-template-center-cards.css | 09d1-telegram-studio-filter-controls.css | 09d3-telegram-monitor-title-value-layout.css | 09d7-telegram-monitor-card-standard.css | 09d8-telegram-monitor-size-placement-contract.css
.phone-table-action-btn,8,8,06e-accessibility-rtl-targeted-fixes.css | 07a-products-modal-precision-cleanup.css | 07b-products-modal-responsive-polish.css
.premium-modal-shell .premium-form-grid,8,8,07a-products-modal-precision-cleanup.css | 07b-products-modal-responsive-polish.css
#telegram-settings-form .telegram-monitor-v2-action__copy,7,8,09c-telegram-template-center-cards.css | 09d1-telegram-studio-filter-controls.css | 09d3-telegram-monitor-title-value-layout.css | 09d7-telegram-monitor-card-standard.css | 09d8-telegram-monitor-size-placement-contract.css
#telegram-settings-form .telegram-monitor-v2-action__icon,7,7,09b-telegram-control-center-monitoring.css | 09c-telegram-template-center-cards.css | 09d1-telegram-studio-filter-controls.css | 09d3-telegram-monitor-title-value-layout.css | 09d7-telegram-monitor-card-standard.css | 09d8-telegram-monitor-size-placement-contract.css
