selector,occurrences,file_count,files
:root,30,14,index.css | styles/themes.css | styles/legacy-monolith.css | styles/components/unified-buttons.css | styles/components/unified-fields.css | styles/runtime-overrides/01b-people-foundation-after-fields.css | styles/runtime-overrides/03a-global-commercial-qa.css | styles/runtime-overrides/03e-sidebar-settings-dashboard-root-fixes.css | styles/runtime-overrides/06a-enterprise-actions-fields-validation.css | styles/runtime-overrides/06e-accessibility-rtl-targeted-fixes.css | styles/runtime-overrides/07a-products-modal-precision-cleanup.css | styles/runtime-overrides/08a-unified-table-actions.css
#telegram-settings-form .telegram-monitor-v2-action,29,7,styles/runtime-overrides/09b-telegram-control-center-monitoring.css | styles/runtime-overrides/09c-telegram-template-center-cards.css | styles/runtime-overrides/09d1-telegram-studio-filter-controls.css | styles/runtime-overrides/09d3-telegram-monitor-title-value-layout.css | styles/runtime-overrides/09d7-telegram-monitor-card-standard.css | styles/runtime-overrides/09d8-telegram-monitor-size-placement-contract.css | styles/runtime-overrides/09d9-telegram-monitor-anchoring-hotfixes.css
100%,21,4,styles/core/animations.css | styles/core/utilities.css | styles/legacy-monolith.css | styles/runtime-overrides/06a-enterprise-actions-fields-validation.css
#telegram-settings-form .telegram-monitor-v2-action__value,20,7,styles/runtime-overrides/09b-telegram-control-center-monitoring.css | styles/runtime-overrides/09c-telegram-template-center-cards.css | styles/runtime-overrides/09d1-telegram-studio-filter-controls.css | styles/runtime-overrides/09d3-telegram-monitor-title-value-layout.css | styles/runtime-overrides/09d7-telegram-monitor-card-standard.css | styles/runtime-overrides/09d8-telegram-monitor-size-placement-contract.css | styles/runtime-overrides/09d9-telegram-monitor-anchoring-hotfixes.css
.ux-btn,19,6,styles/legacy-monolith.css | styles/components/unified-buttons.css | styles/runtime-overrides/01a7-shared-primitives-button-system.css | styles/runtime-overrides/01b-people-foundation-after-fields.css | styles/runtime-overrides/06a-enterprise-actions-fields-validation.css | styles/runtime-overrides/09a-telegram-settings-foundation.css
#telegram-settings-form .telegram-monitor-v2-action__label,18,7,styles/runtime-overrides/09b-telegram-control-center-monitoring.css | styles/runtime-overrides/09c-telegram-template-center-cards.css | styles/runtime-overrides/09d1-telegram-studio-filter-controls.css | styles/runtime-overrides/09d3-telegram-monitor-title-value-layout.css | styles/runtime-overrides/09d7-telegram-monitor-card-standard.css | styles/runtime-overrides/09d8-telegram-monitor-size-placement-contract.css | styles/runtime-overrides/09d9-telegram-monitor-anchoring-hotfixes.css
0%,18,4,styles/core/animations.css | styles/core/utilities.css | styles/legacy-monolith.css | styles/runtime-overrides/06a-enterprise-actions-fields-validation.css
#telegram-settings-form .telegram-monitor-v2-action__state,16,7,styles/runtime-overrides/09b-telegram-control-center-monitoring.css | styles/runtime-overrides/09c-telegram-template-center-cards.css | styles/runtime-overrides/09d1-telegram-studio-filter-controls.css | styles/runtime-overrides/09d3-telegram-monitor-title-value-layout.css | styles/runtime-overrides/09d7-telegram-monitor-card-standard.css | styles/runtime-overrides/09d8-telegram-monitor-size-placement-contract.css | styles/runtime-overrides/09d9-telegram-monitor-anchoring-hotfixes.css
#telegram-settings-form .telegram-monitor-v2-action__copy,16,7,styles/runtime-overrides/09b-telegram-control-center-monitoring.css | styles/runtime-overrides/09c-telegram-template-center-cards.css | styles/runtime-overrides/09d1-telegram-studio-filter-controls.css | styles/runtime-overrides/09d3-telegram-monitor-title-value-layout.css | styles/runtime-overrides/09d7-telegram-monitor-card-standard.css | styles/runtime-overrides/09d8-telegram-monitor-size-placement-contract.css | styles/runtime-overrides/09d9-telegram-monitor-anchoring-hotfixes.css
#telegram-settings-form .telegram-monitor-v2-actions-grid,16,5,styles/pages/telegram.css | styles/runtime-overrides/09b-telegram-control-center-monitoring.css | styles/runtime-overrides/09d1-telegram-studio-filter-controls.css | styles/runtime-overrides/09d7-telegram-monitor-card-standard.css | styles/runtime-overrides/09d8-telegram-monitor-size-placement-contract.css
#telegram-settings-form .telegram-monitor-v2-action__icon,15,7,styles/runtime-overrides/09b-telegram-control-center-monitoring.css | styles/runtime-overrides/09c-telegram-template-center-cards.css | styles/runtime-overrides/09d1-telegram-studio-filter-controls.css | styles/runtime-overrides/09d3-telegram-monitor-title-value-layout.css | styles/runtime-overrides/09d7-telegram-monitor-card-standard.css | styles/runtime-overrides/09d8-telegram-monitor-size-placement-contract.css | styles/runtime-overrides/09d9-telegram-monitor-anchoring-hotfixes.css
.people-primary-btn,13,7,styles/pages/partners.css | styles/legacy-monolith.css | styles/components/unified-buttons.css | styles/runtime-overrides/01a7-shared-primitives-button-system.css | styles/runtime-overrides/01b-people-foundation-after-fields.css | styles/runtime-overrides/04b-people-list-unification.css | styles/runtime-overrides/09a-telegram-settings-foundation.css
.ux-btn--native,12,6,styles/legacy-monolith.css | styles/components/unified-buttons.css | styles/runtime-overrides/01a7-shared-primitives-button-system.css | styles/runtime-overrides/01b-people-foundation-after-fields.css | styles/runtime-overrides/06a-enterprise-actions-fields-validation.css | styles/runtime-overrides/09a-telegram-settings-foundation.css
.ux-btn--native[data-ux-icon-glyph]::before,12,4,styles/legacy-monolith.css | styles/components/unified-buttons.css | styles/runtime-overrides/01a7-shared-primitives-button-system.css | styles/runtime-overrides/06a-enterprise-actions-fields-validation.css
#telegram-settings-form .telegram-monitor-v2-action__top,11,7,styles/runtime-overrides/09b-telegram-control-center-monitoring.css | styles/runtime-overrides/09c-telegram-template-center-cards.css | styles/runtime-overrides/09d1-telegram-studio-filter-controls.css | styles/runtime-overrides/09d3-telegram-monitor-title-value-layout.css | styles/runtime-overrides/09d7-telegram-monitor-card-standard.css | styles/runtime-overrides/09d8-telegram-monitor-size-placement-contract.css | styles/runtime-overrides/09d9-telegram-monitor-anchoring-hotfixes.css
.customers-hero-panel,11,5,styles/pages/customers.css | styles/legacy-monolith.css | styles/pages/customers-shell.css | styles/runtime-overrides/01a2-people-page-hero-lists.css | styles/runtime-overrides/02e-people-commercial-redesign.css
.ux-btn__spinner,11,5,styles/legacy-monolith.css | styles/components/unified-buttons.css | styles/runtime-overrides/01a7-shared-primitives-button-system.css | styles/runtime-overrides/01b-people-foundation-after-fields.css | styles/runtime-overrides/06a-enterprise-actions-fields-validation.css
.people-filter-chip,10,10,styles/pages/partners.css | styles/legacy-monolith.css | styles/runtime-overrides/01a2-people-page-hero-lists.css | styles/runtime-overrides/01a4-people-detail-repair-header-filters.css | styles/runtime-overrides/01a5-partner-command-detail-refinement.css | styles/runtime-overrides/01a6-detail-kpi-filter-icon-system.css | styles/runtime-overrides/01a7-shared-primitives-button-system.css | styles/components/unified-fields.css | styles/runtime-overrides/02e-people-commercial-redesign.css | styles/runtime-overrides/04b-people-list-unification.css
.ledger-action-btn,10,5,styles/components/unified-buttons.css | styles/runtime-overrides/01a4-people-detail-repair-header-filters.css | styles/runtime-overrides/01a7-shared-primitives-button-system.css | styles/runtime-overrides/06a-enterprise-actions-fields-validation.css | styles/runtime-overrides/09a-telegram-settings-foundation.css
.report-page,10,4,styles/pages/reports.css | styles/legacy-monolith.css | styles/runtime-overrides/01b-people-foundation-after-fields.css | styles/runtime-overrides/03b-reports-mobile-settings-smoke.css
.ux-btn__content,10,4,styles/legacy-monolith.css | styles/components/unified-buttons.css | styles/runtime-overrides/01a7-shared-primitives-button-system.css | styles/runtime-overrides/01b-people-foundation-after-fields.css
.partners-action-btn,9,7,styles/pages/partners.css | styles/components/unified-buttons.css | styles/runtime-overrides/01a1-people-table-action-baseline.css | styles/runtime-overrides/01a2-people-page-hero-lists.css | styles/runtime-overrides/01a7-shared-primitives-button-system.css | styles/runtime-overrides/04b-people-list-unification.css | styles/runtime-overrides/09a-telegram-settings-foundation.css
.people-action-btn,9,7,styles/legacy-monolith.css | styles/components/unified-buttons.css | styles/runtime-overrides/01a1-people-table-action-baseline.css | styles/runtime-overrides/01a2-people-page-hero-lists.css | styles/runtime-overrides/01a7-shared-primitives-button-system.css | styles/runtime-overrides/04b-people-list-unification.css | styles/runtime-overrides/09a-telegram-settings-foundation.css
.ux-btn__icon,9,5,styles/legacy-monolith.css | styles/components/unified-buttons.css | styles/runtime-overrides/01a7-shared-primitives-button-system.css | styles/runtime-overrides/01b-people-foundation-after-fields.css | styles/runtime-overrides/06a-enterprise-actions-fields-validation.css
.people-secondary-btn,9,5,styles/legacy-monolith.css | styles/components/unified-buttons.css | styles/runtime-overrides/01a7-shared-primitives-button-system.css | styles/runtime-overrides/01b-people-foundation-after-fields.css | styles/runtime-overrides/09a-telegram-settings-foundation.css
textarea,9,4,index.css | styles/layout/responsive.css | styles/legacy-monolith.css | styles/components/unified-fields.css
.partners-hero,9,3,styles/pages/partners.css | styles/runtime-overrides/01a2-people-page-hero-lists.css | styles/runtime-overrides/02e-people-commercial-redesign.css
#telegram-settings-form .telegram-template-mode-buttons,9,3,styles/runtime-overrides/09c-telegram-template-center-cards.css | styles/runtime-overrides/09d1-telegram-studio-filter-controls.css | styles/runtime-overrides/09d2-telegram-studio-search-empty-states.css
.premium-submit-btn,8,6,styles/components/cards.css | styles/legacy-monolith.css | styles/components/unified-buttons.css | styles/runtime-overrides/01a7-shared-primitives-button-system.css | styles/runtime-overrides/01b-people-foundation-after-fields.css | styles/runtime-overrides/09a-telegram-settings-foundation.css
.premium-cancel-btn,8,6,styles/components/cards.css | styles/legacy-monolith.css | styles/components/unified-buttons.css | styles/runtime-overrides/01a7-shared-primitives-button-system.css | styles/runtime-overrides/01b-people-foundation-after-fields.css | styles/runtime-overrides/09a-telegram-settings-foundation.css
.customers-toolbar,8,5,styles/components/toolbars.css | styles/legacy-monolith.css | styles/runtime-overrides/01a2-people-page-hero-lists.css | styles/runtime-overrides/01a4-people-detail-repair-header-filters.css | styles/runtime-overrides/04b-people-list-unification.css
.detail-hero-card,8,5,styles/pages/customers.css | styles/legacy-monolith.css | styles/components/detail-hero.css | styles/runtime-overrides/02e-people-commercial-redesign.css | styles/runtime-overrides/03d-legacy-telegram-monitor-patches.css
.partners-toolbar-shell,8,5,styles/pages/partners.css | styles/runtime-overrides/01a2-people-page-hero-lists.css | styles/runtime-overrides/01a4-people-detail-repair-header-filters.css | styles/runtime-overrides/01a5-partner-command-detail-refinement.css | styles/runtime-overrides/04b-people-list-unification.css
select,8,4,index.css | styles/layout/responsive.css | styles/legacy-monolith.css | styles/components/unified-fields.css
.inventory-table-action-btn,8,4,styles/components/unified-buttons.css | styles/runtime-overrides/01a7-shared-primitives-button-system.css | styles/runtime-overrides/06a-enterprise-actions-fields-validation.css | styles/runtime-overrides/09a-telegram-settings-foundation.css
50%,8,3,styles/core/animations.css | styles/core/utilities.css | styles/legacy-monolith.css
