file,priority,rawInput,rawSelect,rawTextarea,inlineStyle,arbitraryZ,manualPalette,createPortal,rawTable,TextField,SelectField,TextareaField,SearchableSelectField,AppSearchField,ModalField,DialogShell,AppModal,DataTableShell,ManagementDirectoryTable
components/ui/FinancialTimeline.tsx,FOUNDATION,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0
components/ui/FinancialTimelineEvent.tsx,FOUNDATION,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0
components/ui/ManagementDirectory.tsx,FOUNDATION,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0
components/ui/ManagementDirectoryOverview.tsx,FOUNDATION,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0
components/ui/TableActionGroup.tsx,FOUNDATION,0,0,0,1,0,30,0,0,0,0,0,0,0,0,0,0,0,0
components/ui/ManagementDirectoryTable.tsx,FOUNDATION,0,0,0,0,0,23,0,1,0,0,0,0,0,0,0,0,0,0
components/ui/PageShell.tsx,FOUNDATION,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0
components/ui/PageKit.tsx,FOUNDATION,0,0,0,0,0,18,0,0,0,0,0,0,2,0,0,0,0,0
components/ui/PanelCard.tsx,FOUNDATION,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
components/ui/IconGlyph.tsx,FOUNDATION,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
components/ui/ManagementDirectoryPagination.tsx,FOUNDATION,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
components/ui/ManagementDirectoryToolbar.tsx,FOUNDATION,0,0,0,0,0,6,0,0,0,1,0,0,1,0,0,0,0,0
components/ui/Surface.tsx,FOUNDATION,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
components/ui/DialogShell.tsx,FOUNDATION,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
components/ui/AppSearchField.tsx,FOUNDATION,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
components/ui/CheckboxField.tsx,FOUNDATION,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
components/ui/RangeField.tsx,FOUNDATION,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
components/ui/DataTableShell.tsx,FOUNDATION,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
components/ui/PortalLayer.tsx,FOUNDATION,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
components/ui/SearchableSelectField.tsx,FOUNDATION,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
pages/settings/SettingsTelegramPanel.tsx,P1,0,0,0,8,0,1128,0,0,19,6,5,0,0,11,0,0,0,0
pages/mobilePhones/MobilePhonesMainWorkspace.tsx,P1,0,0,0,14,0,1047,0,1,4,9,1,4,0,0,0,0,1,0
pages/mobilePhones/MobilePhonesModalStack.tsx,P1,3,0,0,17,0,687,0,0,0,4,1,1,0,0,0,0,0,0
pages/Expenses.tsx,P1,0,0,0,2,0,527,0,2,10,3,3,0,1,14,0,0,2,0
pages/InstallmentSaleDetailPage.tsx,P1,0,0,0,0,0,385,0,1,7,2,1,0,0,17,0,0,0,0
pages/mobilePhones/MobilePhonesController.tsx,P1,0,0,0,1,0,204,0,1,0,0,0,0,0,0,0,0,0,0
pages/settings/SettingsLocalPanel.tsx,P1,0,0,0,0,0,203,0,0,4,1,0,0,0,0,0,0,0,0
pages/AddInstallmentSalePage.tsx,P1,0,0,0,0,0,196,0,4,17,2,1,4,0,13,0,0,0,0
pages/mobilePhones/PhoneMarketEvidencePanel.tsx,P1,0,0,0,0,0,180,0,0,14,6,1,0,0,0,0,0,0,0
pages/settings/SettingsModulesPanel.tsx,P1,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0
pages/mobilePhones/PhoneComparablePriceEstimateCard.tsx,P1,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0
pages/settings/SettingsAccountPanel.tsx,P1,0,0,0,1,0,156,0,0,6,0,0,0,0,0,0,0,0,0
pages/settings/SettingsPricingPanel.tsx,P1,0,0,0,1,0,142,0,0,3,3,0,0,0,0,0,0,0,0
pages/settings/SettingsBusinessPanel.tsx,P1,0,0,0,0,0,136,0,0,11,1,0,0,0,0,0,0,0,0
pages/Products.tsx,P1,1,0,0,0,0,122,0,4,6,2,0,2,1,9,0,0,3,0
pages/InstallmentSalesPage.tsx,P1,0,0,0,1,0,122,0,2,0,0,0,0,0,0,0,0,0,0
pages/mobilePhones/PhoneBulkPurchaseModal.tsx,P1,0,0,0,0,0,120,0,0,1,2,0,1,0,0,1,0,0,0
pages/Repairs.tsx,P1,0,0,0,0,0,109,0,1,0,1,0,0,0,0,0,0,0,1
pages/settings/SettingsSmsPanel.tsx,P1,0,0,0,0,0,94,0,0,2,2,0,0,0,0,0,0,0,0
pages/inventory/ProductsManager.tsx,P1,0,0,0,4,0,93,0,3,5,0,0,2,0,6,0,0,1,0
pages/RepairDetail.tsx,P1,0,0,0,0,0,84,0,0,2,0,1,2,0,6,0,0,0,0
pages/reports/InventoryTurnoverReport.tsx,P1,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0
pages/mobilePhones/PhoneIntakeSummaryPanel.tsx,P1,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0
pages/mobilePhones/mobilePhonesControllerSupport.tsx,P1,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0
pages/Customers.tsx,P1,0,0,0,0,0,61,0,0,3,0,2,0,0,5,0,0,0,1
pages/reports/PhoneInstallmentSalesReport.tsx,P1,0,0,0,0,0,58,0,1,0,1,0,0,1,0,0,0,1,0
pages/reports/InventoryFifo.tsx,P1,1,0,0,0,0,52,0,1,0,0,0,0,0,0,0,0,1,0
components/inventory/InventoryDeleteConfirmContent.tsx,P1,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0
pages/settings/SettingsController.tsx,P1,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0
pages/inventoryPro/InventoryProPage.tsx,P1,0,0,0,0,0,29,0,2,13,0,2,2,0,0,0,0,2,0
pages/settings/SettingsPartnerNotice.tsx,P1,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0
pages/inventory/InventoryHub.tsx,P1,0,0,0,0,0,22,0,1,3,0,0,1,0,0,0,0,1,0
pages/settings/SettingsHeaderBar.tsx,P1,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0
pages/Purchases.tsx,P1,2,0,0,0,0,15,0,0,0,0,0,2,0,0,0,0,0,0
pages/InstallmentSaleContractPrintPage.tsx,P1,0,0,0,13,0,15,0,3,0,0,0,0,0,0,0,0,0,0
pages/settings/SettingsWorkspaceSection.tsx,P1,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
pages/settings/LazySettingsTelegramPanel.tsx,P1,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
pages/RepairReceipt.tsx,P1,0,0,0,3,0,10,0,1,0,0,0,0,0,0,0,0,0,0
pages/settings/SettingsRemindersPanel.tsx,P1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
pages/Partners.tsx,P1,0,0,0,0,0,4,0,0,4,1,2,0,0,7,0,0,0,0
pages/settings/SettingsRestoreModal.tsx,P1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
pages/mobilePhones/MobilePhonesRender.tsx,P1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pages/reports/InventoryAnalysisReport.tsx,P1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
pages/reports/TopCustomersReport.tsx,P1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
pages/settings/SettingsUsersPanel.tsx,P1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0
pages/Dashboard.tsx,P2,2,0,0,0,0,745,0,0,0,0,0,0,0,0,0,0,0,0
components/ReminderRulesBuilder.tsx,P2,5,0,0,0,0,530,0,0,0,2,2,0,0,0,0,0,0,0
pages/reports/ProductSalesReport.tsx,P2,0,0,0,1,0,446,0,1,0,3,0,0,1,0,1,0,1,0
pages/partnerDetail/PartnerLedgerWorkspaceSection.tsx,P2,1,0,0,0,0,355,0,1,0,3,0,0,1,0,0,0,1,0
pages/customerDetail/CustomerTelegramConversationSection.tsx,P2,2,0,0,0,0,339,0,0,1,0,1,0,0,0,0,0,0,0
pages/customerDetail/CustomerDetailHeroOverviewSection.tsx,P2,1,0,0,0,0,327,0,0,0,0,0,0,0,0,0,0,0,0
pages/customerDetail/CustomerLedgerRenderSection.tsx,P2,1,0,0,0,0,310,0,0,0,2,0,0,0,0,0,0,0,0
pages/partnerDetail/PartnerDetailController.tsx,P2,0,0,0,0,0,308,0,1,0,0,0,0,0,0,0,0,0,0
pages/SearchResults.tsx,P2,1,0,0,0,1,298,0,0,0,0,0,0,0,0,0,0,0,0
