file,phase0_raw_input_count,phase1_raw_input_count,reduced_by
components/CartTable.tsx,1,0,1
components/PhoneModelAutocomplete.tsx,1,0,1
components/PriceInput.tsx,1,0,1
components/ReminderRulesBuilder.tsx,5,0,5
components/ReportSchedulePanel.tsx,2,0,2
components/ShamsiDatePicker.tsx,1,0,1
components/command-palette/CommandPaletteSearchHeader.tsx,1,0,1
components/header/HeaderSearch.tsx,1,0,1
components/profile/AvatarCropDialog.tsx,1,0,1
components/sidebar/SidebarSearch.tsx,1,0,1
pages/Dashboard.tsx,2,0,2
pages/InvoiceDetail.tsx,3,0,3
pages/InvoiceForm.tsx,3,0,3
pages/LabelPrint.tsx,2,0,2
pages/ProfilePage.tsx,2,1,1
pages/Purchases.tsx,2,0,2
pages/ReportsLayout.tsx,1,0,1
pages/SearchResults.tsx,1,0,1
pages/StockCounts.tsx,1,0,1
pages/customerDetail/CustomerDetailHeroOverviewSection.tsx,1,0,1
pages/customerDetail/CustomerLedgerRenderSection.tsx,1,0,1
pages/customerDetail/CustomerTelegramConversationSection.tsx,2,1,1
pages/dashboard/AddWidgetModal.tsx,1,0,1
pages/mobilePhones/MobilePhonesModalStack.tsx,3,1,2
pages/partnerDetail/PartnerLedgerWorkspaceSection.tsx,1,0,1
pages/reports/AnalyticsDashboard.tsx,1,0,1
pages/reports/DeadStockReport.tsx,1,0,1
pages/reports/FinancialOverview.tsx,1,0,1
pages/reports/InventoryFifo.tsx,1,0,1
pages/reports/PartnerPerformanceReport.tsx,3,0,3
pages/reports/PurchaseSuggestionReport.tsx,1,0,1
pages/reports/SalesProfit.tsx,1,0,1
pages/tools/LabelPrint.tsx,2,0,2
